TEAM,CONF,DIV,TIMEZONE,QUALITY
ARZ,NFC,WEST,3,2
ATL,NFC,SOUTH,1,2
BAL,AFC,NORTH,1,1
BUF,AFC,EAST,1,1
CAR,NFC,SOUTH,1,1
CHI,NFC,NORTH,2,3
CIN,AFC,NORTH,1,1
CLE,AFC,NORTH,1,0
DAL,NFC,EAST,2,3
DEN,AFC,WEST,3,3
DET,NFC,NORTH,1,1
GB,NFC,NORTH,2,3
HOU,AFC,SOUTH,2,0
IND,AFC,SOUTH,1,1
JAC,AFC,SOUTH,1,0
KC,AFC,WEST,2,0
LAC,AFC,WEST,4,0
LAR,NFC,WEST,4,0
MIA,AFC,EAST,1,2
MIN,NFC,NORTH,2,1
NE,AFC,EAST,1,3
NO,NFC,SOUTH,2,2
NYG,NFC,EAST,1,3
NYJ,AFC,EAST,1,1
OAK,AFC,WEST,4,2
PHI,NFC,EAST,1,2
PIT,AFC,NORTH,1,3
SEA,NFC,WEST,4,3
SF,NFC,WEST,4,2
TB,NFC,SOUTH,1,0
TEN,AFC,SOUTH,2,0
WAS,NFC,EAST,1,2
